X_dataobs_,State,Account_Length,Int_l_Plan,VMail_Plan,VMail_Message,Day_Mins,Day_Calls,Eve_Mins,Eve_Calls,Night_Mins,Night_Calls,Intl_Mins,Intl_Calls,CustServ_Calls,Churn_,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1
1,KS,128,no,yes,25,265.1,110,197.4,99,244.7,91,10,3,1,FALSE,0,70.41461785,140.2314154
2,OH,107,no,yes,26,161.6,123,195.5,103,254.4,103,13.7,3,1,FALSE,1,86.71364354,68.28516568
3,NJ,137,no,no,0,243.4,114,121.2,110,162.6,104,12.2,5,0,FALSE,0,94.39749996,147.3234787
4,OH,84,yes,no,0,299.4,71,61.9,88,196.9,89,6.6,7,2,FALSE,0,157.9527669,220.4892479
5,OK,75,yes,no,0,166.7,113,148.3,122,186.9,121,10.1,3,3,FALSE,1,85.18560889,78.7745095
6,AL,118,yes,no,0,223.4,98,220.6,101,203.9,118,6.3,6,0,FALSE,0,37.67737034,91.21318043
7,MA,121,no,yes,24,218.2,88,348.5,108,212.6,118,7.5,7,3,FALSE,0,158.6086652,167.2715921
8,MO,147,yes,no,0,157,79,103.1,94,211.8,96,7.1,6,0,FALSE,1,124.366575,118.8394218
9,LA,117,no,no,0,184.5,97,351.6,80,215.8,90,8.7,4,1,FALSE,1,165.0820972,155.7908391
10,WV,141,yes,yes,37,258.6,84,222,111,326.4,97,11.2,5,0,FALSE,0,143.9382869,184.0493579
11,IN,65,no,no,0,129.1,137,228.5,83,208.8,111,12.7,6,4,TRUE,1,114.4777322,60.74331428
12,RI,74,no,no,0,187.7,127,163.4,148,196,94,9.1,5,0,FALSE,0,77.50688323,90.45758923
13,IA,168,no,no,0,128.8,96,104.9,71,141.1,128,11.2,2,1,FALSE,1,163.1041645,142.6701506
14,MT,95,no,no,0,156.6,88,247.6,75,192.3,115,12.3,5,3,FALSE,1,91.59458208,56.2110949
15,IA,62,no,no,0,120.7,70,307.2,76,203,99,13.1,6,4,FALSE,1,161.9334511,115.3377308
16,NY,161,no,no,0,332.9,67,317.8,97,160.6,128,5.4,9,4,TRUE,0,186.2034623,240.2658882
17,ID,85,no,yes,27,196.4,139,280.9,90,89.3,75,13.8,4,1,FALSE,0,153.0838952,154.8420102
18,VT,93,no,no,0,190.7,114,218.2,111,129.6,121,8.1,3,3,FALSE,0,86.77875733,93.4700136
19,VA,76,no,yes,33,189.7,66,212.8,65,165.7,108,10,5,1,FALSE,0,79.9458613,86.8435458
20,TX,73,no,no,0,224.4,90,159.5,88,192.8,74,13,2,1,FALSE,0,55.23460874,107.2632063
21,FL,147,no,no,0,155.1,117,239.7,93,208.8,133,10.6,4,0,FALSE,1,101.5445068,72.37897233
22,CO,77,no,no,0,62.4,89,169.9,121,209.6,64,5.7,6,5,TRUE,1,169.8181086,97.76365578
23,AZ,130,no,no,0,183,112,72.9,99,181.8,78,9.5,19,0,FALSE,0,135.6842323,148.9188092
24,SC,111,no,no,0,110.4,103,137.3,102,189.6,105,7.7,6,2,FALSE,1,127.1869556,77.04149237
25,VA,132,no,no,0,81.1,86,245.2,72,237,115,10.3,2,0,FALSE,1,161.8716786,91.64152814
26,NE,174,no,no,0,124.3,76,277.1,112,250.7,115,15.5,5,3,FALSE,1,159.4245687,119.525664
27,WY,57,no,yes,39,213,115,191.1,112,182.7,115,9.5,3,0,FALSE,0,62.5524902,98.02775542
28,MT,54,no,no,0,134.3,73,155.5,100,102.1,68,14.7,4,3,FALSE,1,151.8572066,126.7172972
29,HI,49,no,no,0,119.3,117,215.1,109,178.7,90,11.1,1,1,FALSE,1,121.642796,62.70160677
30,IL,142,no,no,0,84.8,95,136.7,63,250.5,148,14.2,6,2,FALSE,1,174.0979399,126.1848113
31,NH,75,no,no,0,226.1,105,201.5,107,246.2,98,10.3,5,1,FALSE,0,54.17698524,103.6707045
32,LA,172,no,no,0,212,121,31.2,115,293.3,78,12.6,10,3,FALSE,0,203.9118071,227.3212319
33,OK,57,no,yes,25,176.8,94,195,75,213.5,116,8.3,4,0,FALSE,1,73.68466955,70.03896576
34,GA,72,no,yes,37,220,80,217.3,102,152.8,71,14.7,6,3,FALSE,0,76.0159742,109.3342828
35,AK,36,no,yes,30,146.3,128,162.5,80,129.3,109,14.5,6,0,FALSE,1,133.8519204,113.3365683
36,MA,78,no,no,0,130.8,64,223.7,116,227.8,108,10,5,1,FALSE,1,110.6499167,56.83200104
37,AK,136,yes,yes,33,203.9,106,187.6,99,101.7,107,10.5,6,3,FALSE,0,110.2709081,128.26283
38,NJ,149,no,no,0,140.4,94,271.8,92,188.3,108,11.1,9,1,FALSE,1,124.4559036,83.99015933
39,GA,98,no,no,0,126.3,102,166.8,85,187.8,135,9.4,2,3,FALSE,1,108.4288785,58.53022744
40,MD,135,yes,yes,41,173.1,85,203.9,107,122.2,78,14.6,15,0,TRUE,1,108.8935567,102.6081801
41,AR,34,no,no,0,124.8,82,282.2,98,311.5,78,10,4,2,FALSE,1,186.8224977,153.1768588
42,ID,160,no,no,0,85.8,77,165.3,110,178.5,92,9.2,4,3,FALSE,1,155.9213799,96.31852314
43,WI,64,no,no,0,154,67,225.8,118,265.3,86,3.5,3,1,FALSE,1,113.7939467,88.69467665
44,OR,59,no,yes,28,120.9,97,213,92,163.1,116,8.5,5,2,FALSE,1,120.8740099,63.63272555
45,MI,65,no,no,0,211.3,120,162.6,122,134.7,118,13.2,5,3,FALSE,0,89.6918692,118.6901226
46,DE,142,no,no,0,187,133,134.6,74,242.2,127,7.4,5,2,FALSE,0,104.0332533,117.8327528
47,ID,119,no,no,0,159.1,114,231.3,117,143.2,91,8.8,3,5,TRUE,1,98.26042687,72.59827774
48,IA,52,no,no,0,191.9,108,269.8,96,236.8,87,7.8,5,3,FALSE,0,103.1272809,104.11444
49,IN,60,no,no,0,220.6,57,211.1,115,249,129,6.8,3,1,FALSE,0,85.52814904,117.6987551
50,VA,10,no,no,0,186.1,112,190.2,66,282.8,57,11.4,6,2,FALSE,0,139.8000247,144.0300629
51,UT,96,no,no,0,160.2,117,267.5,67,228.5,68,9.3,5,2,FALSE,1,111.7840027,86.56666903
52,WY,87,no,no,0,151,83,219.7,116,203.9,127,9.7,3,5,TRUE,1,85.67024805,43.07665124
53,IN,81,no,no,0,175.5,67,249.3,85,270.2,98,10.2,3,1,FALSE,1,108.9661549,99.5259795
54,CO,141,no,no,0,126.9,98,180,62,140.8,128,8,2,1,FALSE,1,130.0247049,91.48820367
55,CO,121,no,yes,30,198.4,129,75.3,77,181.2,77,5.8,3,3,TRUE,0,133.9310933,155.7720475
56,WI,68,no,no,0,148.8,70,246.5,164,129.8,103,12.1,3,3,FALSE,1,139.0544975,112.2338431
57,OK,125,no,no,0,229.3,103,177.4,126,189.3,95,12,8,1,FALSE,0,42.61618403,103.9637408
58,ID,174,no,no,0,192.1,97,169.9,94,166.6,54,11.4,4,1,FALSE,0,101.2250012,114.8971918
59,CA,116,no,yes,34,268.6,83,178.2,142,166.3,106,11.6,3,2,FALSE,0,81.00591357,148.7594052
60,MN,74,no,yes,33,193.7,91,246.1,96,138,92,14.6,3,2,FALSE,0,94.80072214,99.76715489
61,SD,149,no,yes,28,180.7,92,187.8,64,265.5,53,12.6,3,3,FALSE,0,110.8991154,113.9901459
62,NC,38,no,no,0,131.2,98,162.9,97,159,106,8.2,6,2,FALSE,1,123.1084776,86.76748658
63,WA,40,no,yes,41,148.1,74,169.5,88,214.1,102,6.2,5,2,FALSE,1,109.6095436,84.82677009
64,MN,113,yes,no,0,125.2,93,206.4,119,129.3,139,8.3,8,0,FALSE,1,130.0307414,85.51084611
65,TX,150,no,no,0,178.9,101,169.1,110,148.6,100,13.8,3,4,TRUE,0,88.63080028,92.09125177
66,NJ,138,no,no,0,241.8,93,170.5,83,295.3,104,11.8,7,3,FALSE,0,108.2094144,152.4095469
67,MN,162,no,yes,46,224.9,97,188.2,84,254.6,61,12.1,2,0,FALSE,0,99.64975592,134.7333287
68,NM,147,no,no,0,248.6,83,148.9,85,172.5,109,8,4,3,FALSE,0,79.7268688,139.087711
69,NV,90,no,no,0,203.4,146,226.7,117,152.4,105,7.3,4,1,FALSE,0,79.57558406,97.77356872
70,HI,85,no,no,0,235.8,109,157.2,94,188.2,99,12,3,0,FALSE,0,46.33607877,112.4249822
71,MN,50,no,no,0,157.1,90,223.3,72,181.4,111,6.1,2,1,FALSE,1,95.94452679,67.26987348
72,DC,82,no,no,0,300.3,109,181,100,270.1,73,11.7,4,0,TRUE,0,110.6547045,182.3580008
73,NY,144,no,no,0,61.6,117,77.1,85,173,99,8.2,7,4,TRUE,1,207.0830316,161.0716175
74,MN,46,no,no,0,214.1,72,164.4,104,177.5,113,8.2,3,2,FALSE,0,74.68659029,109.6592087
75,MD,70,no,no,0,170.2,98,155.2,102,228.6,76,15,2,1,FALSE,1,81.66623304,78.07889936
76,WV,144,no,no,0,201.1,99,303.5,74,224,119,13.2,2,1,FALSE,0,126.1868697,130.6198624
77,OR,116,yes,no,0,215.4,104,204.8,79,278.5,109,12.6,5,3,FALSE,0,84.06200062,114.6883452
78,CO,55,no,yes,25,165.6,123,136.1,95,175.7,90,11,2,3,FALSE,1,101.5276372,96.55669657
79,GA,70,no,yes,24,249.5,101,259.7,98,222.7,68,9.8,4,1,FALSE,0,87.78755912,134.0882253
80,TX,106,no,no,0,210.6,96,249.2,85,191.4,88,12.4,1,2,TRUE,0,61.11570009,87.65905508
81,VT,128,no,yes,29,179.3,104,225.9,86,323,78,8.6,7,0,FALSE,1,140.3994584,138.8376881
82,IN,94,no,no,0,157.9,105,155,101,189.6,84,8,5,4,TRUE,1,79.0339111,59.89448981
83,KY,74,no,yes,35,154.1,104,123.4,84,202.1,57,10.9,9,2,FALSE,1,115.3674262,103.8466224
84,NJ,128,no,no,0,237.9,125,247.6,93,208.9,68,13.9,4,1,TRUE,0,74.96302706,119.9262686
85,DC,82,no,no,0,143.9,61,194.9,105,109.6,94,11.1,2,1,FALSE,1,128.5319769,101.159533
86,LA,155,no,no,0,203.4,100,190.9,104,196,119,8.9,4,0,TRUE,0,61.54184358,90.16368803
87,AR,80,no,no,0,124.3,100,173,107,253.2,62,7.9,9,1,FALSE,1,121.9203148,78.28596618
88,ME,78,no,no,0,252.9,93,178.4,112,263.9,105,9.5,7,3,FALSE,0,77.32894056,137.6769918
89,AZ,90,no,no,0,179.1,71,190.6,81,127.7,91,10.6,7,3,FALSE,1,93.44822705,92.74958586
90,MT,73,no,no,0,160.1,110,213.3,72,174.1,72,13,4,0,FALSE,1,86.4993463,60.37227531
91,AZ,99,no,no,0,198.2,87,207.3,76,190.9,113,8.7,3,4,FALSE,0,43.34175954,68.83515763
92,MS,120,no,no,0,212.1,131,209.4,104,167.2,96,5.3,5,1,TRUE,0,53.68892465,90.11855917
93,ID,77,no,no,0,251.8,72,205.7,126,275.2,109,9.8,7,2,TRUE,0,93.38834015,144.284125
94,IA,98,no,yes,21,161.2,114,252.2,83,160.2,92,4.4,8,4,FALSE,1,97.65995606,70.44989047
95,MA,108,no,no,0,178.3,137,189,76,129.1,102,14.6,5,0,FALSE,1,95.87515459,95.36907872
96,VT,135,no,no,0,151.7,82,119,105,180,100,10.5,6,0,FALSE,1,112.796113,99.92236141
97,KY,95,no,no,0,135,99,183.6,106,245.3,102,12.5,9,1,FALSE,1,99.69565423,52.65345433
98,IN,122,no,no,0,170.5,94,173.7,109,248.6,75,11.3,2,1,FALSE,1,81.71946873,76.64837482
99,AZ,95,no,no,0,238.1,65,187.2,98,190,115,11.8,4,4,FALSE,0,44.70865759,110.0220307
100,MI,36,no,yes,29,281.4,102,202.2,76,187.2,113,9,6,2,FALSE,0,95.54938698,161.5375569
101,NM,93,no,yes,21,117.9,131,164.5,115,217,86,9.8,3,1,FALSE,1,117.0496839,64.01631594
102,CO,141,no,yes,32,148.6,91,131.1,97,219.4,142,10.1,1,1,FALSE,1,117.9713209,102.2638761
103,UT,157,no,no,0,229.8,90,147.9,121,241.4,108,9.6,7,3,FALSE,0,87.71796243,133.0054956
104,MI,120,no,no,0,165,100,317.2,83,119.2,86,8.3,8,1,FALSE,1,161.2064714,142.7619539
105,MA,103,no,no,0,185,117,223.3,94,222.8,91,12.6,2,2,FALSE,0,56.67437502,59.51224369
106,AL,98,no,no,0,161,117,190.9,113,227.7,113,12.1,4,4,FALSE,1,72.32278528,47.86316132
107,DE,125,no,no,0,126.7,108,206,90,247.8,114,13.3,7,1,FALSE,1,112.1558063,59.46543814
108,AZ,63,no,no,0,58.9,125,169.6,59,211.4,88,9.4,3,1,FALSE,1,177.3924852,107.6879954
109,ME,36,yes,yes,42,196.8,89,254.9,122,138.3,126,20,6,0,TRUE,0,122.4498416,127.0975097
110,NV,74,no,no,0,282.5,114,219.9,48,170,115,9.4,4,1,TRUE,0,95.51166328,160.9441219
111,MO,112,no,yes,36,113.7,117,157.5,82,177.6,118,10,3,2,FALSE,1,124.9565614,73.69907035
112,ID,97,no,no,0,239.8,125,214.8,111,143.3,81,8.7,5,2,FALSE,0,71.86968234,121.8904895
113,NE,46,no,no,0,210.2,92,227.3,77,200.1,116,13.1,7,1,FALSE,0,72.12973812,97.31104064
114,TX,41,no,yes,22,213.8,102,141.8,86,142.2,123,7.2,3,0,FALSE,0,103.9567094,133.148888
115,MD,121,no,no,0,190.7,103,183.5,117,220.8,103,9.8,4,3,FALSE,0,48.03509921,68.09960432
116,MS,193,no,no,0,170.9,124,132.3,95,112.9,89,11.6,3,1,FALSE,0,153.2717541,154.1583063
117,NV,130,no,no,0,154.2,119,110.2,98,227.4,117,9.2,5,2,FALSE,1,118.4715111,109.8289041
118,MS,162,no,no,0,70.7,108,157.5,87,154.8,82,9.1,3,4,TRUE,1,175.7703728,116.1353212
119,TX,92,no,no,0,91.7,90,193.7,123,175,86,9.2,4,2,FALSE,1,136.9235024,61.78865209
120,NE,131,no,yes,36,214.2,115,161.7,117,264.7,102,9.5,4,3,FALSE,0,86.23693829,120.2171466
121,NE,90,no,no,0,145.5,92,217.7,114,146.9,123,10.9,2,3,FALSE,1,101.84685,62.54556327
122,CA,75,no,no,0,166.3,125,158.2,86,256.7,80,6.1,5,1,FALSE,1,97.77376799,91.37144845
123,NJ,78,no,no,0,231,115,230.4,140,261.4,120,9.5,3,1,FALSE,0,88.5880976,125.7559771
124,AR,163,no,no,0,197,109,202.6,128,206.4,80,9.1,10,1,FALSE,0,77.11573407,94.7118692
125,AL,91,yes,no,0,129.9,112,173.3,83,247.2,130,11.2,3,3,FALSE,1,112.7526481,70.28473543
126,NY,75,no,yes,21,175.8,97,217.5,106,237.5,134,5.3,4,5,FALSE,1,78.59848817,70.83666669
127,FL,91,no,no,0,203.1,106,210.1,113,195.6,129,12,3,3,FALSE,0,43.27813261,74.18275495
128,AK,127,no,yes,36,183.2,117,126.8,76,263.3,71,11.2,8,1,FALSE,0,114.9533146,125.8239889
129,NV,113,no,yes,23,205,101,152,60,158.6,59,10.2,5,2,FALSE,0,86.80124017,113.8053374
130,DE,110,no,no,0,148.5,115,276.4,84,193.6,112,12.4,3,1,FALSE,1,114.2702103,76.19445227
131,MD,120,no,yes,39,200.3,68,220.4,97,253.8,116,10.5,4,0,FALSE,0,81.59031472,98.60340028
132,MI,157,no,yes,28,192.6,107,195.5,74,109.7,139,6.8,5,3,FALSE,0,122.616275,131.4349803
133,VT,103,no,no,0,246.5,47,195.5,84,200.5,96,11.7,4,1,FALSE,0,61.36815328,122.9439878
134,VT,117,yes,no,0,167.1,86,177.5,87,249.4,132,14.1,7,2,TRUE,1,86.6255543,77.41105487
135,MI,140,no,no,0,231.9,101,160.1,94,110.4,98,14.3,6,3,FALSE,0,105.2317506,144.3067366
136,WA,127,no,no,0,146.7,91,203.5,78,203.4,110,13.7,3,1,FALSE,1,85.43926093,40.19565952
137,UT,83,yes,no,0,271.5,87,216.3,126,121.1,105,11.7,4,1,FALSE,0,102.3015342,159.2896379
138,LA,121,no,no,0,181.5,121,218.4,98,161.6,103,8.5,5,1,FALSE,1,68.6456685,67.11200355
139,RI,145,no,yes,43,257.7,97,162.1,95,286.9,86,11.1,4,2,FALSE,0,114.5227922,166.0650842
140,IA,113,no,no,0,193.8,99,221.4,125,172.3,67,10.6,6,1,FALSE,0,65.31335131,77.80094221
141,NE,117,no,no,0,102.8,119,206.7,91,299,105,10.1,7,1,FALSE,1,157.9765241,109.2208658
142,OH,65,no,no,0,187.9,116,157.6,117,227.3,86,7.5,6,1,FALSE,0,73.02565573,87.80849941
143,RI,56,no,no,0,226,112,248.5,118,140.5,142,6.9,11,1,FALSE,0,104.5818971,131.4832064
144,OK,96,no,no,0,260.4,115,146,46,269.5,87,11.5,4,5,FALSE,0,109.1803781,164.5341349
145,LA,151,no,no,0,178.7,116,292.1,138,265.9,101,9.8,4,0,FALSE,1,141.3683629,133.1773852
146,OH,83,no,no,0,337.4,120,227.4,116,153.9,114,15.8,7,0,TRUE,0,133.1361224,208.9250395
147,FL,115,no,yes,24,142.1,124,183.4,129,164.8,114,9.6,4,1,FALSE,1,99.70481616,62.63129166
148,SC,87,no,no,0,136.3,97,172.2,108,137.5,101,7.1,5,0,FALSE,1,110.7761157,73.31392342
149,VA,141,no,no,0,217.1,110,241.5,111,253.5,103,12,6,0,FALSE,0,83.32790139,111.4837683
150,IA,141,no,yes,36,187.5,99,241.4,116,229.5,105,10.5,5,3,FALSE,0,83.42926786,85.87160223
151,MI,62,no,no,0,98.9,103,135.4,122,236.6,82,12.2,1,1,FALSE,1,149.8105076,101.266246
152,OK,146,no,no,0,206.3,151,148.6,89,167.2,91,6.1,3,1,FALSE,0,91.49403822,119.3817822
153,DE,92,no,yes,33,243.1,92,213.8,92,228.7,104,12.1,2,2,FALSE,0,49.60789929,113.4102325
154,GA,185,no,yes,31,189.8,126,163.3,133,264.8,126,7.5,3,1,FALSE,0,127.2627496,138.5202869
155,DC,148,no,no,0,202,102,243.2,128,261.3,90,10.9,3,1,FALSE,0,98.1726018,112.0042858
156,AZ,94,no,yes,38,170.1,124,193.3,116,105.9,73,12.8,4,1,FALSE,1,119.2938721,112.0547083
157,AL,32,no,no,0,230.9,87,187.4,90,154,53,6.3,2,0,FALSE,0,97.93948557,135.1161268
158,CO,68,no,no,0,237.1,105,223.5,105,97.4,79,13.2,2,1,FALSE,0,115.6027673,148.932882
